date,channel,data_source,campaign_name,spend_usd,impressions,clicks,conversions,ctr_pct,cpc_usd,cpm_usd,video_views
2023-01-01,Programmatic,Amazon Ad Server (Sizmek),Business-focused zero tolerance architecture,48422.0,132762,14200,1345,10.7,3.41,364.73,13520
2023-01-01,Paid Search,Bing Ads (Microsoft Advertising),Networked value-added time-frame,39917.0,77166,8950,968,11.6,4.46,517.29,0
2023-01-01,Paid Social,LinkedIn Ads,Facebook B2B Decision Makers,10960.37,40405,2179,155,5.39,5.03,271.26,4260
2023-01-01,Organic,Google Display & Video 360,SEO — Brand Awareness,0.0,32746,2526,249,7.72,0.0,0.0,0
2023-01-02,Programmatic,StackAdapt,Business-focused zero tolerance architecture,38626.0,104984,10850,890,10.34,3.56,367.92,13783
2023-01-02,Paid Search,Google Search Ads 360,Persistent 24/7 attitude,44938.78,93780,10649,1017,11.36,4.22,479.19,0
2023-01-02,Paid Social,LinkedIn Ads,Facebook B2B Decision Makers,5659.36,52793,1141,76,2.16,4.96,107.2,4704
2023-01-02,Organic,Google Display & Video 360,Content Syndication — Organic,0.0,45039,4667,499,10.36,0.0,0.0,0
2023-01-03,Programmatic,StackAdapt,Centralized modular throughput,32810.32,92269,9736,879,10.55,3.37,355.59,13778
2023-01-03,Paid Search,Bing Ads (Microsoft Advertising),Integrated dedicated contingency,38478.0,74571,8745,851,11.73,4.4,515.99,0
2023-01-03,Paid Social,LinkedIn Ads,Facebook B2B Decision Makers,8595.48,45192,1726,113,3.82,4.98,190.2,9749
2023-01-03,Organic,Google Display & Video 360,Organic Social — LinkedIn,0.0,40689,4173,457,10.26,0.0,0.0,0
2023-01-04,Programmatic,StackAdapt,Centralized modular throughput,40498.16,140862,12347,1032,8.77,3.28,287.5,17684
2023-01-04,Paid Search,Google Search Ads 360,Integrated dedicated contingency,37856.34,95964,9417,1086,9.81,4.02,394.48,0
2023-01-04,Paid Social,LinkedIn Ads,Q1 LinkedIn Enterprise Outreach,11430.0,48872,1905,110,3.9,6.0,233.88,4419
2023-01-04,Organic,Google Display & Video 360,SEO — Brand Awareness,0.0,47999,4602,410,9.59,0.0,0.0,0
2023-01-05,Programmatic,StackAdapt,Automated uniform software,48761.04,111716,11864,1166,10.62,4.11,436.47,10095
2023-01-05,Paid Search,Bing Ads (Microsoft Advertising),Persistent 24/7 attitude,31780.04,77985,7289,848,9.35,4.36,407.51,0
2023-01-05,Paid Social,Facebook,Q1 LinkedIn Enterprise Outreach,4756.73,41106,913,55,2.22,5.21,115.72,7487
2023-01-05,Organic,Google Display & Video 360,SEO — Brand Awareness,0.0,34885,3505,340,10.05,0.0,0.0,0
2023-01-06,Programmatic,StackAdapt,Automated uniform software,49681.68,112117,12088,1132,10.78,4.11,443.12,16720
2023-01-06,Paid Search,Google Search Ads 360,Persistent 24/7 attitude,33137.72,86870,8932,804,10.28,3.71,381.46,0
2023-01-06,Paid Social,LinkedIn Ads,Facebook B2B Decision Makers,8689.27,37308,1577,96,4.23,5.51,232.91,7724
2023-01-06,Organic,Google Display & Video 360,SEO — Brand Awareness,0.0,30981,2522,266,8.14,0.0,0.0,0
2023-01-07,Programmatic,Amazon Ad Server (Sizmek),Business-focused zero tolerance architecture,35808.63,89091,8347,689,9.37,4.29,401.93,17206
2023-01-07,Paid Search,Bing Ads (Microsoft Advertising),Integrated dedicated contingency,41650.92,94132,10932,1252,11.61,3.81,442.47,0
2023-01-07,Paid Social,Facebook,LinkedIn Sponsored InMail — CXO,13179.45,55144,2143,152,3.89,6.15,239.0,6866
2023-01-07,Organic,Google Display & Video 360,Organic Social — LinkedIn,0.0,30170,2236,214,7.41,0.0,0.0,0
2023-01-08,Programmatic,StackAdapt,Centralized modular throughput,46464.04,146982,12524,1155,8.52,3.71,316.12,16328
2023-01-08,Paid Search,Bing Ads (Microsoft Advertising),Persistent 24/7 attitude,36170.24,90764,9088,1081,10.01,3.98,398.51,0
2023-01-08,Paid Social,LinkedIn Ads,Facebook B2B Decision Makers,16108.2,57517,2565,159,4.46,6.28,280.06,12351
2023-01-08,Organic,Google Display & Video 360,Blog Traffic — Inbound,0.0,38565,3273,301,8.49,0.0,0.0,0
2023-01-09,Programmatic,StackAdapt,Automated uniform software,30248.26,89015,9194,846,10.33,3.29,339.81,10593
2023-01-09,Paid Search,Google Search Ads 360,Integrated dedicated contingency,43127.67,105913,10293,965,9.72,4.19,407.2,0
2023-01-09,Paid Social,LinkedIn Ads,Facebook B2B Decision Makers,9790.43,57990,1651,112,2.85,5.93,168.83,6568
2023-01-09,Organic,Google Display & Video 360,Organic Social — LinkedIn,0.0,39742,3167,322,7.97,0.0,0.0,0
2023-01-10,Programmatic,StackAdapt,Automated uniform software,39009.6,123550,10836,1097,8.77,3.6,315.74,13110
2023-01-10,Paid Search,Google Search Ads 360,Networked value-added time-frame,32044.34,82860,8926,987,10.77,3.59,386.73,0
2023-01-10,Paid Social,Facebook,Facebook B2B Decision Makers,7534.24,54398,1519,103,2.79,4.96,138.5,9613
2023-01-10,Organic,Google Display & Video 360,Blog Traffic — Inbound,0.0,38762,3971,346,10.25,0.0,0.0,0
2023-01-11,Programmatic,StackAdapt,Centralized modular throughput,37329.6,94073,10605,1086,11.27,3.52,396.82,16217
2023-01-11,Paid Search,Bing Ads (Microsoft Advertising),Networked value-added time-frame,43131.15,104498,11145,1180,10.67,3.87,412.75,0
2023-01-11,Paid Social,LinkedIn Ads,LinkedIn Sponsored InMail — CXO,12172.16,41407,2128,154,5.14,5.72,293.96,5277
2023-01-11,Organic,Google Display & Video 360,Blog Traffic — Inbound,0.0,34855,3277,359,9.4,0.0,0.0,0
2023-01-12,Programmatic,StackAdapt,Centralized modular throughput,51760.39,145593,15179,1222,10.43,3.41,355.51,29962
2023-01-12,Paid Search,Google Search Ads 360,Profound intangible policy,45286.29,113757,10269,949,9.03,4.41,398.1,0
2023-01-12,Paid Social,LinkedIn Ads,Q1 LinkedIn Enterprise Outreach,6960.72,46672,1196,78,2.56,5.82,149.14,7993
2023-01-12,Organic,Google Display & Video 360,Content Syndication — Organic,0.0,38831,3630,327,9.35,0.0,0.0,0
2023-01-13,Programmatic,Amazon Ad Server (Sizmek),Cross-platform static hierarchy,50577.84,121630,12708,1291,10.45,3.98,415.83,19407
2023-01-13,Paid Search,Google Search Ads 360,Profound intangible policy,30287.28,77266,7806,761,10.1,3.88,391.99,0
2023-01-13,Paid Social,Facebook,FB Lead Gen — Mid-Market,11297.0,58516,1975,143,3.38,5.72,193.06,11192
2023-01-13,Organic,Google Display & Video 360,SEO — Brand Awareness,0.0,36943,3253,318,8.81,0.0,0.0,0
2023-01-14,Programmatic,Amazon Ad Server (Sizmek),Automated uniform software,42820.42,115463,10786,850,9.34,3.97,370.86,12100
2023-01-14,Paid Search,Bing Ads (Microsoft Advertising),Persistent 24/7 attitude,49801.08,103924,12327,1455,11.86,4.04,479.21,0
2023-01-14,Paid Social,Facebook,FB Lead Gen — Mid-Market,12502.38,37990,1994,126,5.25,6.27,329.1,8164
2023-01-14,Organic,Google Display & Video 360,Blog Traffic — Inbound,0.0,40333,3096,292,7.68,0.0,0.0,0
2023-01-15,Programmatic,Amazon Ad Server (Sizmek),Automated uniform software,46538.9,120147,10823,1012,9.01,4.3,387.35,21319
2023-01-15,Paid Search,Google Search Ads 360,Persistent 24/7 attitude,49737.58,111061,10319,1120,9.29,4.82,447.84,0
2023-01-15,Paid Social,Facebook,Facebook B2B Decision Makers,11097.9,49323,1881,136,3.81,5.9,225.0,8758
2023-01-15,Organic,Google Display & Video 360,Organic Social — LinkedIn,0.0,46713,3708,340,7.94,0.0,0.0,0
2023-01-16,Programmatic,Amazon Ad Server (Sizmek),Business-focused zero tolerance architecture,60918.09,144031,15989,1653,11.1,3.81,422.95,21635
2023-01-16,Paid Search,Bing Ads (Microsoft Advertising),Profound intangible policy,59807.59,119521,13087,1457,10.95,4.57,500.39,0
2023-01-16,Paid Social,LinkedIn Ads,Q1 LinkedIn Enterprise Outreach,10118.85,65834,2095,131,3.18,4.83,153.7,10596
2023-01-16,Organic,Google Display & Video 360,Organic Social — LinkedIn,0.0,34783,2908,288,8.36,0.0,0.0,0
2023-01-17,Programmatic,Amazon Ad Server (Sizmek),Business-focused zero tolerance architecture,40586.61,113287,9733,771,8.59,4.17,358.26,14775
2023-01-17,Paid Search,Google Search Ads 360,Persistent 24/7 attitude,31445.76,77506,8189,929,10.57,3.84,405.72,0
2023-01-17,Paid Social,LinkedIn Ads,FB Lead Gen — Mid-Market,6499.05,50972,1171,65,2.3,5.55,127.5,7935
2023-01-17,Organic,Google Display & Video 360,Content Syndication — Organic,0.0,38441,3615,404,9.4,0.0,0.0,0
2023-01-18,Programmatic,Amazon Ad Server (Sizmek),Cross-platform static hierarchy,44360.89,109259,11893,1018,10.89,3.73,406.02,9940
2023-01-18,Paid Search,Google Search Ads 360,Integrated dedicated contingency,41994.65,79384,9437,1090,11.89,4.45,529.01,0
2023-01-18,Paid Social,Facebook,Facebook B2B Decision Makers,6678.08,50357,1312,76,2.61,5.09,132.61,7900
2023-01-18,Organic,Google Display & Video 360,Organic Social — LinkedIn,0.0,42560,3890,356,9.14,0.0,0.0,0
2023-01-19,Programmatic,StackAdapt,Automated uniform software,55071.24,146066,14844,1411,10.16,3.71,377.03,16751
2023-01-19,Paid Search,Bing Ads (Microsoft Advertising),Profound intangible policy,43925.76,104742,11808,1059,11.27,3.72,419.37,0
2023-01-19,Paid Social,LinkedIn Ads,Facebook B2B Decision Makers,6067.76,48513,1039,74,2.14,5.84,125.07,7101
2023-01-19,Organic,Google Display & Video 360,SEO — Brand Awareness,0.0,37306,3158,307,8.47,0.0,0.0,0
2023-01-20,Programmatic,StackAdapt,Business-focused zero tolerance architecture,39235.35,102450,9933,945,9.7,3.95,382.97,8845
2023-01-20,Paid Search,Google Search Ads 360,Networked value-added time-frame,42129.0,83297,9060,952,10.88,4.65,505.77,0
2023-01-20,Paid Social,LinkedIn Ads,Q1 LinkedIn Enterprise Outreach,7322.94,49740,1278,72,2.57,5.73,147.22,4163
2023-01-20,Organic,Google Display & Video 360,Content Syndication — Organic,0.0,36281,3722,373,10.26,0.0,0.0,0
2023-01-21,Programmatic,Amazon Ad Server (Sizmek),Business-focused zero tolerance architecture,50718.5,119449,11795,1099,9.87,4.3,424.6,16012
2023-01-21,Paid Search,Bing Ads (Microsoft Advertising),Persistent 24/7 attitude,47814.24,111512,13064,1246,11.72,3.66,428.78,0
2023-01-21,Paid Social,LinkedIn Ads,LinkedIn Sponsored InMail — CXO,5046.0,42192,870,49,2.06,5.8,119.6,3795
2023-01-21,Organic,Google Display & Video 360,Content Syndication — Organic,0.0,34931,3451,289,9.88,0.0,0.0,0
2023-01-22,Programmatic,Amazon Ad Server (Sizmek),Cross-platform static hierarchy,40961.5,117123,10370,1010,8.85,3.95,349.73,23757
2023-01-22,Paid Search,Google Search Ads 360,Profound intangible policy,50588.92,116988,13348,1309,11.41,3.79,432.43,0
2023-01-22,Paid Social,Facebook,Facebook B2B Decision Makers,16219.36,62748,3026,225,4.82,5.36,258.48,8287
2023-01-22,Organic,Google Display & Video 360,SEO — Brand Awareness,0.0,47502,3735,413,7.86,0.0,0.0,0
2023-01-23,Programmatic,StackAdapt,Automated uniform software,45462.85,126213,13571,1343,10.75,3.35,360.21,26044
2023-01-23,Paid Search,Bing Ads (Microsoft Advertising),Profound intangible policy,58524.4,108479,12452,1236,11.48,4.7,539.5,0
2023-01-23,Paid Social,Facebook,Q1 LinkedIn Enterprise Outreach,5428.92,55175,1124,81,2.04,4.83,98.39,6880
2023-01-23,Organic,Google Display & Video 360,SEO — Brand Awareness,0.0,51096,5264,527,10.3,0.0,0.0,0
2023-01-24,Programmatic,StackAdapt,Automated uniform software,44732.0,119235,11183,975,9.38,4.0,375.16,22098
